Architecture,Max_Power,Memory,Memory_Speed
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1502 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1375 MHz
Maxwell GM107-400-A2 ,90 Watts,2048 MB ,1502 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,75 Watts,4096 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,75 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Kepler GK104-225-A2 (x2) ,350 Watts,4096 MB ,1502 MHz
Maxwell GM107-400-A2 ,90 Watts,2048 MB ,1502 MHz
Maxwell GM107-400-A2 ,85 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1375 MHz
Maxwell GM107-400-A2 ,65 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1275 MHz
Maxwell GM107-400-A2 ,60 Watts,2048 MB ,1350 MHz
Maxwell GM107-400-A2 ,150 Watts,2048 MB ,1350 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1253 MHz
Maxwell GM107-400-A2 ,65 Watts,2048 MB ,1350 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1250 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1250 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1250 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1253 MHz
Maxwell GM107-400-A2 ,75 Watts,4096 MB ,1350 MHz
Kepler GK104-225-A2 ,170 Watts,2048 MB ,1550 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1250 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1275 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1250 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1250 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,4096 MB ,900 MHz
Maxwell GM107-300-A2 ,55 Watts,1024 MB ,1253 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1275 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1250 MHz
Kepler GK106 ,64 Watts,2048 MB ,1250 MHz
Kepler GK106 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1300 MHz
Kepler GK106 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,4096 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,891 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,891 MHz
Kepler GK107-425-A2 ,64 Watts,4096 MB ,667 MHz
Kepler GK107-425-A2 ,64 Watts,4096 MB ,891 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,1024 MB ,1250 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,891 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,667 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,900 MHz
Kepler GK107-425-A2 ,64 Watts,2048 MB ,891 MHz
Fermi GF108-400-A1 ,49 Watts,4096 MB ,500 MHz
Fermi GF108-400-A1 ,49 Watts,2048 MB ,900 MHz
Fermi GF108-400-A1 ,49 Watts,4096 MB ,533 MHz
Maxwell GM107-300-A2 ,55 Watts,2048 MB ,1253 MHz
Fermi GF108-400-A1 ,49 Watts,2048 MB ,900 MHz
Fermi GF108-400-A1 ,49 Watts,2048 MB ,667 MHz
Fermi GF108-400-A1 ,49 Watts,2048 MB ,667 MHz
Fermi GF108-400-A1 ,65 Watts,2048 MB ,533 MHz
Fermi GF108-400-A1 ,49 Watts,1024 MB ,900 MHz
Fermi GF108-400-A1 ,75 Watts,2048 MB ,900 MHz
Fermi GF108-400-A1 ,49 Watts,4096 MB ,900 MHz
Kepler GK208-301-A1 ,49 Watts,2048 MB ,1253 MHz
Kepler GK208-301-A1 ,38 Watts,2048 MB ,1250 MHz
Kepler GK208-301-A1 ,38 Watts,2048 MB ,1253 MHz
Kepler GK208-301-A1 ,38 Watts,1024 MB ,1253 MHz
Kepler GK208-301-A1 ,49 Watts,1024 MB ,1253 MHz
Kepler GK208-301-A1 ,38 Watts,2048 MB ,1250 MHz
Kepler GK208-301-A1 ,49 Watts,1024 MB ,1253 MHz
Kepler GK208 ,23 Watts,2048 MB ,900 MHz
Kepler GK208-301-A1 ,25 Watts,1024 MB ,1250 MHz
Kepler GK208 ,23 Watts,1024 MB ,900 MHz
Kepler GK208-301-A1 ,38 Watts,1024 MB ,1253 MHz
Fermi GF108-400-A1 ,49 Watts,1024 MB ,900 MHz
Kepler GK208-301-A1 ,38 Watts,2048 MB ,1250 MHz
Kepler GK208 ,23 Watts,4096 MB ,902 MHz
Kepler GK208-301-A1 ,25 Watts,2048 MB ,1250 MHz
Kepler GK208 ,19 Watts,1024 MB ,1250 MHz
Kepler GK208 ,19 Watts,2048 MB ,1250 MHz
Kepler GK208 ,23 Watts,2048 MB ,900 MHz
Kepler GK208 ,19 Watts,2048 MB ,900 MHz
Fermi GF119-300-A1 ,30 Watts,1024 MB ,898 MHz
Kepler GK208 ,19 Watts,1024 MB ,900 MHz
Kepler GK208 ,25 Watts,2048 MB ,900 MHz
Kepler GK208 ,25 Watts,2048 MB ,900 MHz
